form,action,button_set_1,en_1_1,ne_1_1,en_1_2,ne_1_2,en_1_3,ne_1_3,en_1_4,ne_1_4,en_1_5,ne_1_5,button_set_2,en_2_1,ne_2_1,en_2_2,ne_2_2,en_2_3,ne_2_3,en_2_4,ne_2_4,en_2_5,ne_2_5,button_set_3,en_3_1,ne_3_1,en_3_2,ne_3_2,en_3_3,ne_3_3,en_3_4,ne_3_4,en_3_5,ne_3_5
form_grievance_complainant_review,action_ask_form_grievance_complainant_review_grievance_categories_status,1,Yes,हो,Add category,श्रेणी थप्नुहोस्,Delete category,श्रेणी हटाउनुहोस्,Skip,छोड्नुहोस्,,,2,Add category,श्रेणी थप्नुहोस्,Continue without categories,श्रेणी छोड्नुहोस्,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,
form_grievance_complainant_review,action_ask_form_grievance_complainant_review_grievance_summary_status,1,Validate summary,सारांश सुनिश्चित गर्नुहोस्,Edit summary,सारांश संपादन गर्नुहोस्,Skip,छोड्नुहोस्,,,,,2,Edit summary,सारांश संपादन गर्नुहोस्,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,
form_grievance_complainant_review,action_ask_form_grievance_complainant_review_sensitive_issues_follow_up,1,File anonymously,गुनासो दर्ता गर्न चाहनुहुन्छ,File anonymously with one phone number,एक फोन नम्बर सहित गुनासो दर्ता गर्न चाहनुहुन्छ,Provide more details,अधिक विवरण प्रदान गर्न चाहनुहुन्छ,,,,,,,,,,,,,,,,,,,,,,,,,,
generic_actions,action_introduce,1,Nepali / नेपाली,Nepali / नेपाली,English / अंग्रेजी,English / अंग्रेजी,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generic_actions,action_main_menu,1,File a grievance,गुनासो दर्ता गर्नुहोस्,"Report sexual exploitation, sexual abuse, and sexual harassment",SEAH/SEIA उजुरी दर्ता गर्नुहोस्,Check my status,स्थिति जाँच गर्नुहोस्,Exit,बाहिर निस्कनुहोस्,,,,,,,,,,,,,,,,,,,,,,,,
generic_actions,action_restart_story,1,Restart the process,प्रक्रिया पुनः सुरु गर्नुहोस्,Restart the story,कथामा पुनः सुरु गर्नुहोस्,Go back to the main menu,मुख्य मेनुमा फर्कनुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,
generic_actions,action_custom_fallback,1,Try Again,पुनः प्रयास गर्नुहोस्,Restart the process,प्रक्रिया पुनः सुरु गर्नुहोस्,Restart the story,कथामा पुनः सुरु गर्नुहोस्,File Grievance as Is,यसै रूपमा दर्ता गर्नुहोस्,Exit,बाहिर निस्कनुहोस्,,,,,,,,,,,,,,,,,,,,,,
generic_actions,action_handle_skip,1,Yes,हो,No,होइन,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generic_actions,action_mood_unhappy,1,Try Again,पुनः प्रयास गर्नुहोस्,Restart the process,प्रक्रिया पुनः सुरु गर्नुहोस्,Restart the story,कथामा पुनः सुरु गर्नुहोस्,File Grievance as Is,यसै रूपमा दर्ता गर्नुहोस्,Exit,बाहिर निस्कनुहोस्,,,,,,,,,,,,,,,,,,,,,,
generic_actions,action_clean_window_options,1,Close Browser,ब्राउजर बन्द गर्नुहोस्,Close Session,सत्र बन्द गर्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_otp,action_ask_otp_consent,1,Validate with OTP,OTP सत्यापन गर्नुहोस्,Skip OTP,OTP छोड्नुहोस्,,,,,,,2,Validate with OTP,OTP सत्यापन गर्नुहोस्,Skip OTP,OTP छोड्नुहोस्,,,,,,,,,,,,,,,,,
form_otp,action_ask_otp_input,1,Resend,पुनः पठाउनुहोस्,Change Phone,फोन परिवर्तन गर्नुहोस्,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,
form_seah_1,action_ask_form_seah_1_sensitive_issues_follow_up,1,Anonymous grievance,गुमनाम उजुरी,Grievance with contact details,सम्पर्क विवरण सहित उजुरी,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_seah_1,action_ask_form_seah_1_seah_victim_survivor_role,1,SEAH focal-point,SEAH फोकल-पोइन्ट,Victim-Survivor,पीडित/उत्तरजीवी,Witness / Relative of the victim,साक्षी / पीडितको आफन्त,,,,,,,,,,,,,,,,,,,,,,,,,,
form_seah_1,action_ask_form_seah_1_seah_witness_victim_consent_to_file,1,Yes,हो,No,होइन,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_seah_1,action_ask_form_seah_1_seah_witness_immediate_danger,1,Yes,हो,No,होइन,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_seah_2,action_ask_form_seah_2_sensitive_issues_new_detail,1,Skip,छोड्नुहोस्,,,,,,,,,2,File as is,यसै रूपमा दर्ता गर्नुहोस्,Add more details,थप विवरण थप्नुहोस्,Rewrite the summary,प्रक्रिया पुनः सुरु गर्नुहोस्,,,,,,,,,,,,,,,
form_seah_2,action_ask_form_seah_2_seah_project_identification,1,Yes,हो,No,होइन,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_seah_2,action_ask_form_seah_2_seah_contact_consent_channel,1,Phone only,फोन मात्र,Email only,इमेल मात्र,Both phone and email,फोन र इमेल दुवै,No follow-up contact,फलो-अप सम्पर्क नगर्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,
form_seah_focal_point,action_ask_form_seah_focal_point_1_seah_focal_learned_when,1,Within last 24h,पछिल्लो २४ घण्टा,24-72h ago,२४-७२ घण्टा अघि,3-7 days ago,३-७ दिन अघि,More than 7 days,७ दिनभन्दा बढी अघि,,,,,,,,,,,,,,,,,,,,,,,,
form_seah_focal_point,action_ask_form_seah_focal_point_1_seah_focal_reporter_consent_to_report,1,Yes,हो,No,होइन,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_seah_focal_point,action_ask_form_seah_focal_point_1_sensitive_issues_follow_up,1,Anonymous grievance,गुमनाम उजुरी,Grievance with contact details,सम्पर्क विवरण सहित उजुरी,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_seah_focal_point,action_ask_form_seah_focal_point_2_seah_project_identification,1,Yes,हो,No,होइन,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_seah_focal_point,action_ask_form_seah_focal_point_2_seah_focal_survivor_risks,1,"Retaliation, intimidation, or threat to job security","प्रतिशोध, धम्की वा रोजगारी सुरक्षामा खतरा",Personal safety,व्यक्तिगत सुरक्षा,Trauma,आघात,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,
form_seah_focal_point,action_ask_form_seah_focal_point_2_seah_focal_mitigation_measures,1,Referral to support services,सहायता सेवामा सन्दर्भ गरिएको,Provided information on police and/or legal services,प्रहरी वा कानुनी सेवाबारे जानकारी दिइयो,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_seah_focal_point,action_ask_form_seah_focal_point_2_seah_focal_other_at_risk_parties,1,Witnesses,प्रत्यक्षदर्शीहरू,Other family members,अन्य परिवारका सदस्यहरू,Other project workers,अन्य परियोजना कामदारहरू,Other members of the community,समुदायका अन्य सदस्यहरू,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,
form_seah_focal_point,action_ask_form_seah_focal_point_2_seah_focal_project_risk,1,Project delay,परियोजना ढिलाइ,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_seah_focal_point,action_ask_form_seah_focal_point_2_seah_focal_reputational_risk,1,Yes,हो,No,होइन,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_seah_focal_point,action_ask_form_seah_focal_point_2_sensitive_issues_new_detail,1,Skip,छोड्नुहोस्,,,,,,,,,2,File as is,यसै रूपमा दर्ता गर्नुहोस्,Add more details,थप विवरण थप्नुहोस्,Rewrite the summary,प्रक्रिया पुनः सुरु गर्नुहोस्,,,,,,,,,,,,,,,
form_seah_focal_point,action_ask_form_seah_focal_point_2_seah_contact_consent_channel,1,Phone only,फोन मात्र,Email only,इमेल मात्र,Both phone and email,फोन र इमेल दुवै,No follow-up contact,फलो-अप सम्पर्क नगर्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,
form_seah_focal_point,action_ask_form_seah_focal_point_2_seah_focal_referred_to_support,1,Yes,हो,No,होइन,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_seah_focal_point,action_outro_sensitive_issues,1,Close Browser,ब्राउजर बन्द गर्नुहोस्,Close Session,सत्र बन्द गर्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_form,handle_slot_extraction,1,"Yes, skip it",हो,"No, let me enter a value",होइन,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_status_check,action_ask_status_check_method,1,Phone Number,फोन नम्बर,Grievance ID,गुनासो ID,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,
form_status_check,action_ask_status_check_list_grievance_id,1,Skip,छोड्नुहोस्,Search by phone number,फोन नम्बर सेव्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_status_check,action_ask_form_status_check_1_complainant_phone,1,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_status_check,action_ask_status_check_complainant_full_name,1,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_status_check,action_ask_form_status_check_skip_valid_province_and_district,1,Yes,हो,No,होइन,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_status_check,action_ask_form_status_check_skip_complainant_province,1,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_status_check,action_ask_form_status_check_skip_complainant_district,1,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_status_check,action_ask_form_status_check_skip_complainant_municipality_temp,1,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_status_check,action_ask_form_status_check_skip_complainant_municipality_confirmed,1,Yes,हो,No,होइन,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_status_check,action_ask_status_check_grievance_id_selected,1,Search by Phone Number,फोन नम्बर सेव्नुहोस्,Skip,छोड्नुहोस्,,,,,,,2,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,
form_status_check,action_status_check_request_follow_up,,,,,,,,,,,,2,Add missing info,नभएको जानकारी भर्नुहोस्,Modify grievance,गुनासो सम्पादन गर्नुहोस्,Cancel,रद्द गर्नुहोस्,,,,,,,,,,,,,,,
form_status_check,action_status_check_modify_grievance,1,Add pictures and documents,चित्र र कागजात थप्नुहोस्,Add more info to my grievance,मेरो गुनासोमा थप जानकारी थप्नुहोस्,Add missing info,नभएको जानकारी भर्नुहोस्,Exit,अन्त्य गर्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,
form_status_check,action_skip_status_check_outro,1,Main Menu,मुख्य मेनुमा फर्कनुहोस्,Goodbye,बाहिर निस्कनुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_modify_contact,action_ask_form_modify_contact_complainant_phone,1,Skip,छोड्नुहोस्,I'm done,म समाप्त गर्छु,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_modify_contact,action_ask_modify_missing_field,1,Skip,छोड्नुहोस्,I'm done,म समाप्त गर्छु,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_modify_grievance,action_ask_modify_follow_up_answer,1,Skip,छोड्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_modify_grievance,action_ask_modify_grievance_new_detail,1,Save and continue,बचत गर्नुहोस् र जारी राख्नुहोस्,Cancel,रद्द गर्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,
check_status,action_choose_retrieval_method,1,Use Phone Number,फोन नम्बर प्रयोग गर्नुहोस्,Use Grievance ID,गुनासो ID प्रयोग गर्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,
check_status,action_display_grievance,1,Check Status,स्थिति जाँच गर्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
check_status,action_check_status,1,View History,इतिहास हेर्नुहोस्,Check Another Grievance,अर्को गुनासो जाँच गर्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,
check_status,action_show_status_history,1,Check Current Status,वर्तमान स्थिति जाँच गर्नुहोस्,Check Another Grievance,अर्को गुनासो जाँच गर्नुहोस्,End Conversation,कुराकानी समाप्त गर्नुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,
rest_webchat_file_upload,post_upload,1,Add more files,थप फाइलहरू थप्नुहोस्,Go back to chat,च्याटमा फर्कनुहोस्,,,,,,,,,,,,,,,,,,,,,,,,,,,,
